key,en
TABLE_LANGUAGE,//cdn.datatables.net/plug-ins/1.10.11/i18n/English.json
WELCOME,Welcome artfishr user!
WELCOME_PARAGRAPH,This is an example of shiny multi-lingual module provided by the artfishr library
ACCURACY_TITLE,Estimate accuracy and uniformity of sampling strategy
ACCURACY_TABPANEL_ACCURACY,Accuracy
ACCURACY_GLOBAL_BOX_TITLE,Global
ACCURACY_NUMERIC_INPUT_NUMBER_OF_BOATS_TITLE,Number of boats
ACCURACY_NUMERIC_INPUT_NUMBER_OF_FISHING_DAYS_TITLE,Number of fishing days
ACCURACY_EFFORT_BOX_TITLE,Effort
ACCURACY_NUMERIC_INPUT_NUMBER_OF_EFFORT_SAMPLES_TITLE,Number of effort samples
ACCURACY_NUMERIC_INPUT_NUMBER_OF_DAYS_SAMPLED_EFFORTS_TITLE,Number of days sampled (effort)
ACCURACY_LANDING_BOX_TITLE,Landing
ACCURACY_NUMERIC_INPUT_NUMBER_OF_LANDING_SAMPLES_TITLE,Number of landing samples
ACCURACY_NUMERIC_INPUT_NUMBER_OF_DAYS_SAMPLED_LANDING_TITLE,Number of days sampled (landing)
ACCURACY_TABPANEL_UNIFORMITY,Uniformity
ACCURACY_UNIFORMITY_HINT,Click on 'New Column' to add a day and double click on cell to edit
ACCURACY_ACTIONBUTTON_ACTIVATE_NEWCOLUMN_LABEL,New Column
ACCURACY_ACTIONBUTTON_COMPUTE_LABEL,Compute
ACCURACY_VALUEBOX_TITLE_SPATIAL_ACCURACY_EFFORT,Spatial Accuracy (effort)
ACCURACY_VALUEBOX_TITLE_TEMPORAL_ACCURACY_EFFORT,Temporal Accuracy (effort)
ACCURACY_VALUEBOX_TITLE_SPATIAL_ACCURACY_CATCH,Spatial Accuracy (catch)
ACCURACY_VALUEBOX_TITLE_TEMPORAL_ACCURACY_CATCH,Temporal Accuracy (catch)
ACCURACY_VALUEBOX_TITLE_OVERALL_ACCURACY,Overall Accuracy
ACCURACY_VALUEBOX_TITLE_UNIFORMITY_INDEX,Uniformity index
ACCURACY_DAY_LABEL,Day
ACCURACY_SAMPLES_LABEL,samples
OVERVIEW_TITLE,Total catch and effort
OVERVIEW_SUBTITLE,Statistics at country level
OVERVIEW_NO_RELEASE,No released indicators available for Artfish estimates
OVERVIEW_TIME_SLIDER_LABEL,Period
OVERVIEW_FISHING_UNIT_SELECTOR_LABEL,Fishing unit
OVERVIEW_FISHING_UNIT_SELECTOR_SELECT_ALL,select all
OVERVIEW_FISHING_UNIT_SELECTOR_DESELECT_ALL,deselect all
OVERVIEW_FISHING_UNIT_SELECTOR_SELECTED,fishing units selected
OVERVIEW_FISHING_UNIT_SELECTOR_NO_SELECTION,No fishing unit selected
OVERVIEW_INFOBOX_CATCH_TITLE,Total catch
OVERVIEW_INFOBOX_CATCH_UNIT,kg 
OVERVIEW_INFOBOX_EFFORT_TITLE,Total effort
OVERVIEW_INFOBOX_EFFORT_UNIT,days
OVERVIEW_INFOBOX_VALUE_TITLE,Total value
OVERVIEW_INFOBOX_VALUE_UNIT,$
OVERVIEW_PLOT_BOATS_TITLE,Number of Active Vessels
OVERVIEW_PLOT_BOATS_GROUP_LABEL,Fishing Unit
OVERVIEW_PLOT_BOATS_VALUE_LABEL,Number of Active Vessels
OVERVIEW_PLOT_EFFORT_TITLE,Total Nominal Effort
OVERVIEW_PLOT_EFFORT_GROUP_LABEL,Fishing Unit
OVERVIEW_PLOT_EFFORT_VALUE_LABEL,Total Nominal Effort (days)
OVERVIEW_PLOT_CATCH_TITLE,Total Catch Estimation
OVERVIEW_PLOT_CATCH_GROUP_LABEL,Fishing Unit
OVERVIEW_PLOT_CATCH_VALUE_LABEL,Total Catch (kg)
OVERVIEW_PLOT_CATCH_SP_TITLE,Species Composition (by quantity)
OVERVIEW_PLOT_CATCH_SP_GROUP_LABEL,Rank
OVERVIEW_PLOT_CATCH_SP_VALUE_LABEL,
OVERVIEW_PLOT_VALUE_TITLE,Total Value Estimation
OVERVIEW_PLOT_VALUE_GROUP_LABEL,Fishing Unit
OVERVIEW_PLOT_VALUE_VALUE_LABEL,Total Value ($)
OVERVIEW_PLOT_VALUE_SP_TITLE,Species Composition (by value)
OVERVIEW_PLOT_VALUE_SP_GROUP_LABEL,Rank
OVERVIEW_PLOT_VALUE_SP_VALUE_LABEL,
OVERVIEW_PLOT_CPUE_TITLE,Catch Per Unit Effort (CPUE)
OVERVIEW_PLOT_CPUE_GROUP_LABEL,Fishing Unit
OVERVIEW_PLOT_CPUE_VALUE_LABEL,CPUE (kg/day)
