key,fr
WELCOME,Bienvenu utilisateur de artfishr!
WELCOME_PARAGRAPH,Ceci est un exemple de module Shiny multi-langue fourni par la librairie artfishr
ACCURACY_TITLE,Précision de l’estimation et uniformité de la stratégie d’échantillonnage
ACCURACY_TABPANEL_ACCURACY,Précision
ACCURACY_GLOBAL_BOX_TITLE,Global
ACCURACY_NUMERIC_INPUT_NUMBER_OF_BOATS_TITLE,Nombre de bateaux
ACCURACY_NUMERIC_INPUT_NUMBER_OF_FISHING_DAYS_TITLE,Nombre de jours de pêche
ACCURACY_EFFORT_BOX_TITLE,Effort
ACCURACY_NUMERIC_INPUT_NUMBER_OF_EFFORT_SAMPLES_TITLE,Nombre d’échantillons d’effort
ACCURACY_NUMERIC_INPUT_NUMBER_OF_DAYS_SAMPLED_EFFORTS_TITLE,Nombre de jours échantillonnés (effort)
ACCURACY_LANDING_BOX_TITLE,Débarquements
ACCURACY_NUMERIC_INPUT_NUMBER_OF_LANDING_SAMPLES_TITLE,Nombre d’échantillons de débarquement
ACCURACY_NUMERIC_INPUT_NUMBER_OF_DAYS_SAMPLED_LANDING_TITLE,Nombre de jours échantillonnés (débarquements)
ACCURACY_TABPANEL_UNIFORMITY,Uniformité
ACCURACY_UNIFORMITY_HINT,Cliquez sur « Nouvelle colonne » pour ajouter un jour et double-cliquez sur une cellule pour modifier
ACCURACY_ACTIONBUTTON_ACTIVATE_NEWCOLUMN_LABEL,Nouvelle colonne
ACCURACY_ACTIONBUTTON_COMPUTE_LABEL,Calculer
ACCURACY_VALUEBOX_TITLE_SPATIAL_ACCURACY_EFFORT,Précision spatiale (effort)
ACCURACY_VALUEBOX_TITLE_TEMPORAL_ACCURACY_EFFORT,Précision temporelle (effort)
ACCURACY_VALUEBOX_TITLE_SPATIAL_ACCURACY_CATCH,Précision spatiale (captures)
ACCURACY_VALUEBOX_TITLE_TEMPORAL_ACCURACY_CATCH,Précision temporelle (captures)
ACCURACY_VALUEBOX_TITLE_OVERALL_ACCURACY,Précision globale
ACCURACY_VALUEBOX_TITLE_UNIFORMITY_INDEX,Indice d’uniformité
ACCURACY_DAY_LABEL,Jour
ACCURACY_SAMPLES_LABEL,échantillons
OVERVIEW_TITLE,Captures et effort totaux
OVERVIEW_SUBTITLE,Statistiques au niveau national
OVERVIEW_NO_RELEASE,Aucun indicateur validé disponible pour les estimations Artfish
OVERVIEW_TIME_SLIDER_LABEL,Période
OVERVIEW_FISHING_UNIT_SELECTOR_LABEL,Unité de pêche
OVERVIEW_FISHING_UNIT_SELECTOR_SELECT_ALL,tout sélectionner
OVERVIEW_FISHING_UNIT_SELECTOR_DESELECT_ALL,tout désélectionner
OVERVIEW_FISHING_UNIT_SELECTOR_SELECTED,unités de pêche sélectionnées
OVERVIEW_FISHING_UNIT_SELECTOR_NO_SELECTION,Aucune unité de pêche sélectionnée
OVERVIEW_INFOBOX_CATCH_TITLE,Capture totale
OVERVIEW_INFOBOX_CATCH_UNIT,kg
OVERVIEW_INFOBOX_EFFORT_TITLE,Effort total
OVERVIEW_INFOBOX_EFFORT_UNIT,jours
OVERVIEW_INFOBOX_VALUE_TITLE,Valeur totale
OVERVIEW_INFOBOX_VALUE_UNIT,$
OVERVIEW_PLOT_BOATS_TITLE,Nombre de navires actifs
OVERVIEW_PLOT_BOATS_GROUP_LABEL,Unité de pêche
OVERVIEW_PLOT_BOATS_VALUE_LABEL,Nombre de navires actifs
OVERVIEW_PLOT_EFFORT_TITLE,Effort nominal total
OVERVIEW_PLOT_EFFORT_GROUP_LABEL,Unité de pêche
OVERVIEW_PLOT_EFFORT_VALUE_LABEL,Effort nominal total (jours)
OVERVIEW_PLOT_CATCH_TITLE,Estimation des captures totales
OVERVIEW_PLOT_CATCH_GROUP_LABEL,Unité de pêche
OVERVIEW_PLOT_CATCH_VALUE_LABEL,Captures totales (kg)
OVERVIEW_PLOT_CATCH_SP_TITLE,Composition spécifique (par quantité)
OVERVIEW_PLOT_CATCH_SP_GROUP_LABEL,Rang
OVERVIEW_PLOT_CATCH_SP_VALUE_LABEL,
OVERVIEW_PLOT_VALUE_TITLE,Estimation de la valeur totale
OVERVIEW_PLOT_VALUE_GROUP_LABEL,Unité de pêche
OVERVIEW_PLOT_VALUE_VALUE_LABEL,Valeur totale ($)
OVERVIEW_PLOT_VALUE_SP_TITLE,Composition spécifique (par valeur)
OVERVIEW_PLOT_VALUE_SP_GROUP_LABEL,Rang
OVERVIEW_PLOT_VALUE_SP_VALUE_LABEL,
OVERVIEW_PLOT_CPUE_TITLE,Capture par unité d’effort (CPUE)
OVERVIEW_PLOT_CPUE_GROUP_LABEL,Unité de pêche
OVERVIEW_PLOT_CPUE_VALUE_LABEL,CPUE (kg/jour)
FISHING_UNIT_TITLE,Captures et effort
FISHING_UNIT_SUBTITLE,Détail par unité de pêche
FISHING_UNIT_NO_RELEASE,Aucun indicateur validé disponible pour les estimations Artfish
FISHING_UNIT_TIME_SLIDER_LABEL,Période
FISHING_UNIT_FU_SELECTOR_LABEL,Unité de pêche
FISHING_UNIT_FU_SELECTOR_SELECT_ALL,tout sélectionner
FISHING_UNIT_FU_SELECTOR_DESELECT_ALL,tout désélectionner
FISHING_UNIT_FU_SELECTOR_SELECTED,unités de pêche sélectionnées
FISHING_UNIT_FU_SELECTOR_NO_SELECTION,Aucune unité de pêche sélectionnée
FISHING_UNIT_INFOBOX_CATCH_TITLE,Capture totale
FISHING_UNIT_INFOBOX_CATCH_UNIT,kg
FISHING_UNIT_INFOBOX_VALUE_TITLE,Valeur totale
FISHING_UNIT_INFOBOX_VALUE_UNIT,$
FISHING_UNIT_INFOBOX_EFFORT_TITLE,Effort total
FISHING_UNIT_INFOBOX_EFFORT_UNIT,jours
FISHING_UNIT_INFOBOX_BOAT_TITLE,Nombre de navires actifs
FISHING_UNIT_INFOBOX_BOAT_UNIT,navires
FISHING_UNIT_PLOT_CATCH_SP_TOT_TITLE,Composition spécifique (par quantité)
FISHING_UNIT_PLOT_CATCH_SP_TOT_GROUP_LABEL,Unité de pêche
FISHING_UNIT_PLOT_CATCH_SP_TOT_VALUE_LABEL,
FISHING_UNIT_PLOT_CATCH_FU_TOT_TITLE,Composition par unité de pêche (par quantité)
FISHING_UNIT_PLOT_CATCH_FU_TOT_GROUP_LABEL,Unité de pêche
FISHING_UNIT_PLOT_CATCH_FU_TOT_VALUE_LABEL,
FISHING_UNIT_PLOT_VALUE_FU_TOT_TITLE,Composition par unité de pêche (par valeur)
FISHING_UNIT_PLOT_VALUE_FU_TOT_GROUP_LABEL,Unité de pêche
FISHING_UNIT_PLOT_VALUE_FU_TOT_VALUE_LABEL,
FISHING_UNIT_PLOT_ACTIVITY_TITLE,Coefficient d’activité
FISHING_UNIT_PLOT_ACTIVITY_GROUP_LABEL,Unité de pêche
FISHING_UNIT_PLOT_ACTIVITY_VALUE_LABEL,Coefficient d’activité
FISHING_UNIT_PLOT_BOATS_TITLE,Nombre de navires actifs
FISHING_UNIT_PLOT_BOATS_GROUP_LABEL,Unité de pêche
FISHING_UNIT_PLOT_BOATS_VALUE_LABEL,Nombre de navires actifs
FISHING_UNIT_PLOT_EFFORT_TITLE,Effort nominal total
FISHING_UNIT_PLOT_EFFORT_GROUP_LABEL,Unité de pêche
