year,month,day,minor_stratum,landing_site,fishing_unit,fleet_engagement_number,fleet_engagement_max
2025,1,2,1,1,Artisanal 0-6m trap,48,48
2025,1,2,1,1,Artisanal 6-12m trawl,0,30
2025,1,2,1,1,Artisanal 6-12m gillnet,6,15
2025,1,3,1,2,Artisanal 0-6m trap,47,75
2025,1,3,1,2,Artisanal 6-12m trawl,9,50
2025,1,7,2,5,Artisanal 0-6m trap,24,30
2025,1,7,2,5,Artisanal 6-12m trawl,37,45
2025,1,7,2,5,Artisanal 6-12m gillnet,24,78
2025,1,8,2,3,Artisanal 6-12m trawl,3,96
2025,1,8,2,3,Artisanal 6-12m gillnet,14,45
2025,1,10,2,4,Artisanal 0-6m trap,19,20
2025,1,10,2,4,Artisanal 6-12m gillnet,21,35
2025,1,12,1,1,Artisanal 0-6m trap,48,48
2025,1,12,1,1,Artisanal 6-12m trawl,23,30
2025,1,12,1,1,Artisanal 6-12m gillnet,0,15
2025,1,14,1,2,Artisanal 0-6m trap,46,75
2025,1,14,1,2,Artisanal 6-12m trawl,36,50
2025,1,15,2,5,Artisanal 0-6m trap,13,30
2025,1,15,2,5,Artisanal 6-12m trawl,14,45
2025,1,15,2,5,Artisanal 6-12m gillnet,15,78
2025,1,17,2,3,Artisanal 6-12m trawl,95,96
2025,1,17,2,3,Artisanal 6-12m gillnet,7,45
2025,1,18,2,4,Artisanal 0-6m trap,4,20
2025,1,18,2,4,Artisanal 6-12m gillnet,15,35
2025,1,19,2,5,Artisanal 0-6m trap,8,30
2025,1,19,2,5,Artisanal 6-12m trawl,0,45
2025,1,19,2,5,Artisanal 6-12m gillnet,42,78
2025,1,23,2,3,Artisanal 6-12m gillnet,29,45
2025,1,23,2,3,Artisanal 6-12m trawl,60,96
2025,1,25,1,2,Artisanal 0-6m trap,73,75
2025,1,25,1,2,Artisanal 6-12m trawl,50,50
